,Ridge model,RF model,Extra tree model,XGB model,LGBM model
1990-1999,0.218,0.245,0.264,0.24,0.222
2000-2009,0.091,0.08,0.088,0.097,0.117
2010-2019,0.137,0.112,0.168,0.161,0.082
