,Ridge model,RF model,Extra tree model,XGB model,LGBM model
1990-1999,0.131,0.147,0.159,0.144,0.133
2000-2009,0.054,0.048,0.053,0.058,0.07
2010-2019,0.082,0.067,0.101,0.097,0.049
