Date,^GSPC
1961-03-27,4190000
1961-03-28,4630000
1961-03-29,5330000
1961-03-30,5610000
1961-04-03,6470000
1961-04-04,7080000
1961-04-05,5430000
1961-04-06,4910000
1961-04-07,5100000
1961-04-10,5550000
1961-04-11,5230000
1961-04-12,4870000
1961-04-13,4770000
1961-04-14,5240000
1961-04-17,5860000
1961-04-18,4830000
1961-04-19,4870000
1961-04-20,4810000
1961-04-21,4340000
1961-04-24,4590000
1961-04-25,4670000
1961-04-26,4980000
1961-04-27,4450000
1961-04-28,3710000
1961-05-01,3710000
1961-05-02,4110000
1961-05-03,4940000
1961-05-04,5350000
1961-05-05,4980000
1961-05-08,5170000
1961-05-09,5380000
1961-05-10,5450000
1961-05-11,5170000
1961-05-12,4840000
1961-05-15,4840000
1961-05-16,5110000
1961-05-17,5520000
1961-05-18,4610000
1961-05-19,4200000
1961-05-22,4070000
1961-05-23,3660000
1961-05-24,3970000
1961-05-25,3760000
1961-05-26,3780000
1961-05-31,4320000
1961-06-01,3770000
1961-06-02,3670000
1961-06-05,4150000
1961-06-06,4250000
1961-06-07,3980000
1961-06-08,3810000
1961-06-09,3520000
1961-06-12,3260000
1961-06-13,3030000
1961-06-14,3430000
1961-06-15,3220000
1961-06-16,3380000
1961-06-19,3980000
1961-06-20,3280000
1961-06-21,3210000
1961-06-22,2880000
1961-06-23,2720000
1961-06-26,2690000
1961-06-27,3090000
1961-06-28,2830000
1961-06-29,2560000
1961-06-30,2380000
1961-07-03,2180000
1961-07-05,3270000
1961-07-06,3470000
1961-07-07,3030000
1961-07-10,3180000
1961-07-11,3160000
1961-07-12,3070000
1961-07-13,2670000
1961-07-14,2760000
1961-07-17,2690000
1961-07-18,3010000
1961-07-19,2940000
1961-07-20,2530000
1961-07-21,2360000
1961-07-24,2490000
1961-07-25,3010000
1961-07-26,4070000
1961-07-27,4170000
1961-07-28,3610000
1961-07-31,3170000
1961-08-01,3990000
1961-08-02,4300000
1961-08-03,3650000
1961-08-04,3710000
1961-08-07,3560000
1961-08-08,4050000
1961-08-09,3710000
1961-08-10,3570000
1961-08-11,3260000
1961-08-14,3120000
1961-08-15,3320000
1961-08-16,3430000
1961-08-17,4130000
1961-08-18,4030000
1961-08-21,3880000
1961-08-22,3640000
1961-08-23,3550000
1961-08-24,3090000
1961-08-25,3050000
1961-08-28,3150000
1961-08-29,3160000
1961-08-30,3220000
1961-08-31,2920000
1961-09-01,2710000
1961-09-05,3000000
1961-09-06,3440000
1961-09-07,3900000
1961-09-08,3430000
1961-09-11,2790000
1961-09-12,2950000
1961-09-13,3110000
1961-09-14,2920000
1961-09-15,3130000
1961-09-18,3550000
1961-09-19,3260000
1961-09-20,2700000
1961-09-21,3340000
1961-09-22,3070000
1961-09-25,3700000
1961-09-26,3320000
1961-09-27,3440000
1961-09-28,3000000
1961-09-29,3060000
1961-10-02,2800000
1961-10-03,2680000
1961-10-04,3380000
1961-10-05,3920000
1961-10-06,3470000
1961-10-09,2920000
1961-10-10,3430000
1961-10-11,3670000
1961-10-12,3060000
1961-10-13,3090000
1961-10-16,2840000
1961-10-17,3110000
1961-10-18,3520000
1961-10-19,3850000
1961-10-20,3470000
1961-10-23,3440000
1961-10-24,3430000
1961-10-25,3590000
1961-10-26,3330000
1961-10-27,3200000
1961-10-30,3430000
1961-10-31,3350000
1961-11-01,3210000
1961-11-02,3890000
1961-11-03,4070000
1961-11-06,4340000
1961-11-08,6090000
1961-11-09,4680000
1961-11-10,4180000
1961-11-13,4540000
1961-11-14,4750000
1961-11-15,4660000
1961-11-16,3980000
1961-11-17,3960000
1961-11-20,4190000
1961-11-21,4890000
1961-11-22,4500000
1961-11-24,4020000
1961-11-27,4700000
1961-11-28,4360000
1961-11-29,4550000
1961-11-30,4210000
1961-12-01,4420000
1961-12-04,4560000
1961-12-05,4330000
1961-12-06,4200000
1961-12-07,3900000
1961-12-08,4010000
1961-12-11,4360000
1961-12-12,4680000
1961-12-13,4890000
1961-12-14,4350000
1961-12-15,3710000
1961-12-18,3810000
1961-12-19,3440000
1961-12-20,3640000
1961-12-21,3440000
1961-12-22,3390000
1961-12-26,3180000
1961-12-27,4170000
1961-12-28,4530000
1961-12-29,5370000
1962-01-02,3120000
1962-01-03,3590000
1962-01-04,4450000
1962-01-05,4630000
1962-01-08,4620000
1962-01-09,3600000
1962-01-10,3300000
1962-01-11,3390000
1962-01-12,3730000
1962-01-15,3450000
1962-01-16,3650000
1962-01-17,3780000
1962-01-18,3460000
1962-01-19,3800000
1962-01-22,3810000
1962-01-23,3350000
1962-01-24,3760000
1962-01-25,3560000
1962-01-26,3330000
1962-01-29,3050000
1962-01-30,3520000
1962-01-31,3840000
1962-02-01,4260000
1962-02-02,3950000
1962-02-05,3890000
1962-02-06,3650000
1962-02-07,4140000
1962-02-08,3810000
1962-02-09,3370000
1962-02-12,2620000
1962-02-13,3400000
1962-02-14,3630000
1962-02-15,3470000
1962-02-16,3700000
1962-02-19,3350000
1962-02-20,3300000
1962-02-21,3310000
1962-02-23,3230000
1962-02-26,2910000
1962-02-27,3110000
1962-02-28,3030000
1962-03-01,2960000
1962-03-02,2980000
1962-03-05,3020000
1962-03-06,2870000
1962-03-07,2890000
1962-03-08,3210000
1962-03-09,3340000
1962-03-12,3280000
1962-03-13,3200000
1962-03-14,3670000
1962-03-15,3250000
1962-03-16,3060000
1962-03-19,3220000
1962-03-20,3060000
1962-03-21,3360000
1962-03-22,3130000
1962-03-23,3050000
1962-03-26,3040000
1962-03-27,3090000
1962-03-28,2940000
1962-03-29,2870000
1962-03-30,2950000
1962-04-02,2790000
1962-04-03,3350000
1962-04-04,3290000
1962-04-05,3130000
1962-04-06,2730000
1962-04-09,3020000
1962-04-10,2880000
1962-04-11,3240000
1962-04-12,3320000
1962-04-13,3470000
1962-04-16,3070000
1962-04-17,2940000
1962-04-18,3350000
1962-04-19,3100000
1962-04-23,3240000
1962-04-24,3040000
1962-04-25,3340000
1962-04-26,3650000
1962-04-27,4140000
1962-04-30,4150000
1962-05-01,5100000
1962-05-02,3780000
1962-05-03,3320000
1962-05-04,3010000
1962-05-07,2530000
1962-05-08,3020000
1962-05-09,3670000
1962-05-10,4730000
1962-05-11,4510000
1962-05-14,5990000
1962-05-15,4780000
1962-05-16,3360000
1962-05-17,2950000
1962-05-18,2490000
1962-05-21,2260000
1962-05-22,3640000
1962-05-23,5450000
1962-05-24,5250000
1962-05-25,6380000
1962-05-28,9350000
1962-05-29,14750000
1962-05-31,10710000
1962-06-01,5760000
1962-06-04,5380000
1962-06-05,6140000
1962-06-06,4190000
1962-06-07,2760000
1962-06-08,2560000
1962-06-11,2870000
1962-06-12,4690000
1962-06-13,5850000
1962-06-14,6240000
1962-06-15,7130000
1962-06-18,4580000
1962-06-19,2680000
1962-06-20,3360000
1962-06-21,4560000
1962-06-22,5640000
1962-06-25,7090000
1962-06-26,4630000
1962-06-27,3890000
1962-06-28,5440000
1962-06-29,4720000
1962-07-02,3450000
1962-07-03,3920000
1962-07-05,3350000
1962-07-06,3110000
1962-07-09,2950000
1962-07-10,7120000
1962-07-11,4250000
1962-07-12,5370000
1962-07-13,3380000
1962-07-16,3130000
1962-07-17,3500000
1962-07-18,3620000
1962-07-19,3090000
1962-07-20,2610000
