Date,rf_monthly
1960-02-29,0.0034263540759011946
1960-03-31,0.0024824894504382744
1960-04-30,0.0024987062423953432
1960-05-31,0.002563544569910148
1960-06-30,0.001806933890815765
1960-07-31,0.001806933890815765
1960-08-31,0.0021168461686718043
1960-09-30,0.001896753774651705
1960-10-31,0.0017497294319643864
1960-11-30,0.0019783316166070986
1960-12-31,0.0018151029961479548
1961-01-31,0.001880429473812617
1961-02-28,0.0021249875283486652
1961-03-31,0.0019946383824136493
1961-04-30,0.0018722662260866052
1961-05-31,0.001929393601714402
1961-06-30,0.0018722662260866052
1961-07-31,0.0018641022466401314
1961-08-31,0.0019375517312338886
1961-09-30,0.0018396059166061463
1961-10-31,0.001880429473812617
1961-11-30,0.002100561266309864
1961-12-31,0.0021982272387204294
1962-01-31,0.0022470208948117687
1962-02-28,0.0022307592460395487
1962-03-31,0.0022632796417700884
1962-04-30,0.0022551506309500535
1962-05-31,0.002222627333134941
1962-06-30,0.0023851280513444983
1962-07-31,0.0023526509284592656
1962-08-31,0.00231203848258299
1962-09-30,0.0022551506309500535
1962-10-31,0.002238890433220231
1962-11-30,0.0023526509284592656
1962-12-31,0.00240136217649356
1963-01-31,0.0024094781546677435
1963-02-28,0.0023851280513444983
1963-03-31,0.0023932454754307386
1963-04-30,0.0023851280513444983
1963-05-31,0.0024662697723036864
1963-06-30,0.002458158850583869
1963-07-31,0.0026849924455234486
1963-08-31,0.0027820344140609965
1963-09-30,0.002765867764291219
1963-10-31,0.0028547480141780657
1963-11-30,0.002870898719076642
1963-12-31,0.00287897299874329
1964-01-31,0.002870898719076642
1964-02-29,0.0029516093560837398
1964-03-31,0.00287897299874329
1964-04-30,0.002830516590929477
1964-05-31,0.0028466715886812377
1964-06-30,0.0028466715886812377
1964-07-31,0.0028466715886812377
1964-08-31,0.002870898719076642
1964-09-30,0.0029112629686138813
1964-10-31,0.0029112629686138813
1964-11-30,0.003145024088419879
1964-12-31,0.0031289218697270194
1965-01-31,0.0031691720868141093
